product_category,product_brand,product_name,product_price,sku,upc,product_url,market,product_description,product_currency,product_available_inventory,product_image_url,product_model_number,product_tags,product_contents,product_rating,product_reviews_count
Electronics > Camera & Photo > Lighting & Studio > Lighting,Satco,"Satco S3475 120V 1/Card 250-Watt T10 Medium Base Light Bulb, Clear",14.84,B00009XVIM,,https://www.amazon.com/dp/B00009XVIM,US,"Halogen lamps deliver a crisp, white light, not only is the quantity of the light greater than a standard incandescent of comparable wattage, but the quality of the light creates a higher contrast for reading and other tasks this also makes halogen perfect of display, accent and general lighting. Standard incandescent lamps and halogen lamps both use tungsten filaments. However, the filament in the standard lamp evaporates over time, causing it to weaken and eventually break. The gasses inside halogen laps allow the evaporated tungsten to find its way back to the filament and redeposit, ensuring a long life of 2,000 hours or more. All of our halogen lamps are dimmable and can be used in conventional incandescent dimmers. | Halogen lamps deliver a crisp, white light, not only is the quantity of the light greater than a standard incandescent of comparable wattage, but the quality of the light creates a higher contrast for reading and other tasks this also makes halogen perfect of display, accent and general lighting. Standard incandescent lamps and halogen lamps both use tungsten filaments. However, the filament in the standard lamp evaporates over time, causing it to weaken and eventually break. The gasses inside halogen laps allow the evaporated tungsten to find its way back to the filament and redeposit, ensuring a long life of 2,000 hours or more. All of our halogen lamps are dimmable and can be used in conventional incandescent dimmers.",USD,999999999,https://images-na.ssl-images-amazon.com/images/I/31nIlIe6JaL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51K68GSH7nL._.jpg,S3475,"Satco S3475 120V 1/Card 250-Watt T10 Medium Base Light Bulb, Clear",Make sure this fits by entering your model number. 2000 Average rated hours 250-Watt medium base Clear PAR16 bulb,1.4,3
Electronics > Camera & Photo > Lighting & Studio > Photo Studio > Storage & Presentation Materials,Art Emotion,"Art Emotion, Pack of 100, Acid-Free 12-71/16&quot x 18-1/4&quot inches Crystal Clear Sleeves Storage Bags with Re-Seal Strip On Top of The Bags for 12&quotx18&quot Photo Framing Mats",27.99,B07P41SJLZ,,https://www.amazon.com/dp/B07P41SJLZ,US,,USD,999999999,https://images-na.ssl-images-amazon.com/images/I/31Nc28vStSL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31tp3iP7SML._.jpg|https://images-na.ssl-images-amazon.com/images/I/41-oADahk9L._.jpg,,"Art Emotion, Pack of 100, Acid-Free 12-71/16&quot x 18-1/4&quot inches Crystal Clear Sleeves Storage Bags with Re-Seal Strip On Top of The Bags for 12&quotx18&quot Photo Framing Mats",,0,0
Electronics > Camera & Photo > Lighting & Studio > Photo Studio > Storage & Presentation Materials,Golden State Art,"Golden State Art, Pack of 100, Acid-Free 8 3/8x 10 1/8 inches Crystal Clear Sleeves Storage Bags for 8x10 Photo Framing Mats Mattes",,B01G7QT2F4,,https://www.amazon.com/dp/B01G7QT2F4,US,,USD,999999999,https://images-na.ssl-images-amazon.com/images/I/311IkZHl2pL._.jpg|https://images-na.ssl-images-amazon.com/images/I/4185nqP78JL._.jpg,V7-70998-GSA0,"Golden State Art, Pack of 100, Acid-Free 8 3/8x 10 1/8 inches Crystal Clear Sleeves Storage Bags for 8x10 Photo Framing Mats Mattes","Brand new Pack of 100,8 3/8 x 10 1/8 inches clear Bags for 5x7 photo mats It fits 8x10 double mat with backing. Contains a Re-sealable Adhesive Strip below the opening of the bag.",4.7,398
Electronics > Camera & Photo > Lighting & Studio > Photo Studio > Storage & Presentation Materials,Golden State Art,Pack of 25 11x14 Metallic Gold Picture Mats Mattes with White Core Bevel Cut for 8x10 Photo + Backing + Bags,48.66,B00YESRICC,,https://www.amazon.com/dp/B00YESRICC,US,"Our acid-free whitecore matboards are a 4-ply papermat that provide the aesthetic and design benefits of a bright white bevel. It can be used for matting photos, art, and needlepoint. Also great for crafts, backboards, signs, children's projects, and school projects.",USD,999999999,https://images-na.ssl-images-amazon.com/images/I/41PbJRvP-%2BL._.jpg,K11140810143w025,Pack of 25 11x14 Metallic Gold Picture Mats Mattes with White Core Bevel Cut for 8x10 Photo + Backing + Bags,"Make sure this fits by entering your model number. Pack of 25 11x14 Metallic Gold Picture Mats Mattes with White Core Bevel Cut for 8x10 Photo + Backing + Bags This item comes with 25 single mats, 25 backing, and 25 bags The opening size is 7.5&quotx9.5&quot for 8x10 print. The mats are beveled cut with white core and 4-ply thick (about 1.4 mm or 1/16 inch). The re-sealable adhesive strip of the clear bag is below the opening of the bag instead of on the flap.",5,1
Electronics > Home Audio > Compact Radios & Stereos > Clock Radios,Bawoo,Wake Up Light Sunrise Sunset Simulation Bawoo Clock Radios Dual Alarm with FM Radio Snooze Function 7 Colors 7 Natural Sound (1),23.99,B07RGTBWYM,,https://www.amazon.com/dp/B07RGTBWYM,US,"Bawoo Sunrise Sunset Stimulation Alarm Clock Why Choose us? Snooze function for greedy sleeper and deep sleeper; 20 adjustable brightness levels for your options; Large, easy to read LED display in 12/24H mode; Sunrise simulation wakes you up gradually with natural soft light; Sunset function will guide you to natural and restful sleep; 6 alarm sounds and FM radio can be selected as alarm sound; 7 color options for you choose: warm white/green/red/blue/purple/orange/indigo; How can it be used? Bedside lamp for bedroom, nursery room, etc Alarm clock for waking up naturally in the morning Reading lighting or atmosphere lighting for decoration FM Radio for receiving interesting program at home Charging station for charging your iPhone, iPad when sleeping at night | | | | 7 Colors Atmosphere Lights This wake up light can emits gentle and soft lighting to calm your mood, 7 colors and 20 brightness for option, easy to create a comfortable atmosphere, which is beneficial for your body. | Ideal Christmas Lights Gift This sunrise alarm clock is a perfect gift for anyone in holidays like Christmas, which can be used for man, woman, the old, babies, heavy sleeper or light sleeper, etc, also add some holiday atmosphere for your house. | No-risk Purchase Support Certified by CE, rOHS, UL, this alarm clock has a premium quality, also our support team will help you if you have any question or hesitations about this product.",USD,999999999,https://images-na.ssl-images-amazon.com/images/I/41u1OHEiPML._.jpg|https://images-na.ssl-images-amazon.com/images/I/51Lt5DmpLbL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51ccjgRupQL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51F7IfwSjFL._.jpg|https://images-na.ssl-images-amazon.com/images/I/61PwXN4rD9L._.jpg|https://images-na.ssl-images-amazon.com/images/I/519iGdm5adL._.jpg|https://images-na.ssl-images-amazon.com/images/I/71lrUHLbA9L._.jpg,,Wake Up Light Sunrise Sunset Simulation Bawoo Clock Radios Dual Alarm with FM Radio Snooze Function 7 Colors 7 Natural Sound (1),"🌞【Sunrise simulation Wake-up Light Alarm Clock】---The clock simulates a natural dawn with optimum natural light and sound to help you wake up gradually, 10-60 minutes sunrise duration before pre-set wake-up time with personalized settings for 20-level lightness, 7 sounds and FM radio, 16-level volume, and snooze. 🌙【Sunset Simulation Sleep Aid Bedside Lamp】---A vanishing sunset simulation from 10-120 minutes helps solving sleeping problems, perfect for baby, toddler, and Insomniacs, 7 different comfortable natural sound for your option, also easy to switch between 7 light colors as a bedside lamp for reading or atmosphere lighting. 🎶【FM Radio & 7 Natural Sounds】---Choose waking up by 7 natural sounds or your favourite FM station, FM radio features automatic scanning mode and manual adjustment. Great to start a day with your loved channels instead with noisy jingles! ⏰【Dual Alarm Clock & Tap to Snooze】---2 alarm settings are available for separating the weekday and weekend wake-up. Snooze function allows you extra 9 minutes sleep for 5 times, perfect for greedy sleeper and heavy sleeper. 🔋【Ergonomic USB Charger】---Not only used as a alarm clock and bedside lamp, it can also used as a USB charger. User-friendly 5V/2A USB port is used for charging your phone or other devices. 30 days money back guarantee and 12 months service support.",3.7,20
Electronics > Home Audio > Compact Radios & Stereos > Clock Radios,Sharper Image,"SHARPER IMAGE Projection Alarm Clock, Project The Time on Wall or Ceiling, Digital Display, Dual Alarms with FM Radio Function, USB Passthrough to Charge Devices, Backup Battery, 120 Degree Rotation",25.99,B07LFRCSJB,,https://www.amazon.com/dp/B07LFRCSJB,US,"| | | | All-IN-ONE Dual alarms, a large display, and FM radio, what more could you need? | INTUITIVE CONTROLS FOR ALL FEATURES Stylish midcentury modern design even detailed to the controls. | CHARGE DEVICES The back of the clock features a USB port, which you can use to charge your compatible devices. | EASY TO READ OVERSIZED DISPLAY No one sleeps with glasses on. See clearly even without them with the large, oversized digital display.",USD,999999999,https://images-na.ssl-images-amazon.com/images/I/41fp%2BMRPj4L._.jpg|https://images-na.ssl-images-amazon.com/images/I/41jheFDp5IL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41JjwQ%2BK7WL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41fDz4m0nsL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41PhTHAxOQL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41o-WOStl1L._.jpg|https://images-na.ssl-images-amazon.com/images/I/51BEpiFLFhL._.jpg,,"SHARPER IMAGE Projection Alarm Clock, Project The Time on Wall or Ceiling, Digital Display, Dual Alarms with FM Radio Function, USB Passthrough to Charge Devices, Backup Battery, 120 Degree Rotation","✔ PROJECTION ALARM CLOCK: Wake up on time with the modern Projection Alarm Clock from Sharper Image on your nightstand! With dual alarms, a large display, and FM radio, what more could you need? ✔ DISPLAY TIME ON THE WALLS OR CEILING: Check the time from where you comfortable lay in bed! The clock projects the time on the wall or ceiling and rotates 120 degrees so you can easily change its positioning. ✔ DUAL ALARM FUNCTION WITH FM RADIO: Set more than one alarm—like one for you and one for your partner—with the dual settings. You can even set it so you’re woken by your favorite FM radio station. ✔ USB PASSTHROUGH TO CHARGE DEVICES: The back of the clock features a USB port, which you can use to charge your smartphone, tablet, or other electronic device while keeping it within handy reach. ✔ EASY TO READ OVERSIZED DISPLAY: No one sleeps with glasses on. See clearly even without them with the large, oversized digital display. You can also adjust the brightness after your eyes are accustomed to the dark.",4.5,32
Electronics > Home Audio > Compact Radios & Stereos > Clock Radios,Givoust,"Alarm Clock Radio for Bedroom with AM/FM/WB Weather Alert Radio, Wireless Bluetooth Speaker, Aux/TF Card Player, Alarm Clock with Dual Big Bass Speaker, Dimmer, Snooze and Sleep Timer.",,B07TS5X9GG,,https://www.amazon.com/dp/B07TS5X9GG,US,"| Easy-To-Use Control Buttons | With the simple user interface and large full-width snooze button on top, mornings just got easier. Enjoy a comfortable and prolonged wake-up with the repeating snooze option, and experience zero stress when setting the time or alarm.",USD,111111111,https://images-na.ssl-images-amazon.com/images/I/51AEmy5L8EL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51lWiQiKnJL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51UsRdwvQwL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51rZFWGGJ0L._.jpg|https://images-na.ssl-images-amazon.com/images/I/41vFnsy8U2L._.jpg|https://images-na.ssl-images-amazon.com/images/I/41w5xfpn3sL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51BBl3ShwgL._.jpg,,"Alarm Clock Radio for Bedroom with AM/FM/WB Weather Alert Radio, Wireless Bluetooth Speaker, Aux/TF Card Player, Alarm Clock with Dual Big Bass Speaker, Dimmer, Snooze and Sleep Timer.","⏰【Happy Get Up & Sleep At Ease】 Snooze function allows you to enjoy a five minute nap after the alarm clock rings, never miss, never oversleep. Because the alarm radio with bluetooth speaker will wake you up again after five minutes Choose your favorite music or FM & AM radio station to go to sleep before going to bed, and this alarm clock radio can automatically shut down without disturbing your sleep and avoid power consumption for a long time. ⏰【High Quality Bluetooth Speaker 】 Use digital alarm clock radio as Bluetooth speaker, within 10 meters, quickly and stably transfer your favorite music from your smartphone or tablet. Or, plug in the AUX and TF card to get more music choices.Alarm radio with bluetooth speaker allow you to enjoy music freely at any time and place, at home entertainment and traveling. ⏰【Digital Alarm Clcok 】The large numbers on the large screen is easy to read and do not need to wear glasses in the middle of the night, especially for people with poor vision. this Alarm Clock with FM Radio owns three different brightness levels that allow you to set brighter during the day, softer at night, and guard you every day and night. ⏰【Super Long Antenna With Strong Reception】Alarm clock radio with AM/FM/WB radio,strong reception,clear sound, can automatically serch for a station and the super long antenna can be extended to strengthen radio signal, allowing you to adjust your favourite channels to listen to daily news,weather forecasts and more. ⏰【Useful Weather Alert Function】Small boby, powerful funtion. With weather alert function of this alarm clock, it will automatically monitor the weather conditions. Once This bluetooth alarm radio receives the severe weather conditions, the alarm will sound.Remind you that there will be bad weather in the near future and prepare in advance to ensure your safety.",2.1,5
"Electronics > Television & Video > Television Accessories > TV Mounts, Stands & Turntables > TV Ceiling & Wall Mounts",WALI,"WALI TV Top Shelf 12 inch Flat Panel Mount for Streaming Devices, Media Boxes, Speakers and Home Decor",14.99,B077PF4HNT,,https://www.amazon.com/dp/B077PF4HNT,US,"TSH001 Designed to create extra storage space on top of your TV, perfect for holding streaming devices, wireless speakers, gaming consoles, media boxes, remotes, pictures, plants and more. Holds up to 13.2lbs 12-inch wide flat top panel | | | Product Specifications: | Package Includes: | 1 x WALI 12inch TV Top Shelf",USD,999999999,https://images-na.ssl-images-amazon.com/images/I/41Pc6bzMUiL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41h8oQlNmzL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41KcJJCcllL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41QWm9pIBFL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51ywH-bBqeL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41SEIl0myhL._.jpg|https://images-na.ssl-images-amazon.com/images/I/61UoNotVW6L._.jpg,TSH001,"WALI TV Top Shelf 12 inch Flat Panel Mount for Streaming Devices, Media Boxes, Speakers and Home Decor","Make sure this fits by entering your model number. Usage: 12-inch wide flat top panel Designed for use with Wireless speakers; gaming consoles; media boxes; remotes, pictures, plants and more. Safely holds up to 13.2lbs (6kg). Features: shelf Designed with vented slots for heat dissipation to keep your devices running at optimum temperature. Soft fabric underneath the shelf prevents scratches to your TV. Steady: nonslip mesh rubber pad prevents your Items from slipping off the shelf while providing ventilation. Mount your devices and decor with confidence. Built: constructed of High Grade lightweight metal. Streamline design for a modern look. Package includes: 1 x WALI 12Inch TV top shelf (Black), 1 x mounting hardware kit, 10 Year protection",4.7,259
"Electronics > Television & Video > Television Accessories > TV Mounts, Stands & Turntables > TV Ceiling & Wall Mounts",Blulu,"2 Pieces Screen Top Shelf TV Monitor Mount Organizer Adjustable Top Storage Bracket for Streaming Devices, Media Boxes, Speakers and Home Decor",11.99,B086DP8ZG6,,https://www.amazon.com/dp/B086DP8ZG6,US,"2 Pieces screen top shelf TV monitor mount organizer adjustable top storage bracket for streaming devices, media boxes, speakers and home decor Double the area: It's smart to install two brackets side by side, in which way you can double the area and place larger things. Convenient design: The TV top shelf can be adjusted to meet your various needs, the non-slip surface can keep your items from sliding, and the ABS resin material can prevent the electronics products from wear damage for durability. Specification: Material: ABS resin Length: 6.7 inches/ 17 cm Width: 4.41 inches/ 11.2 cm Color: as shown in the picture Package includes: 2 x Screen top shelf Note: Manual measurement, please allow slight errors on size. Do not place more than 1 kg weight on the bracket.",USD,999999999,https://images-na.ssl-images-amazon.com/images/I/416pbksN3%2BL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41rYl7icfpL._.jpg|https://images-na.ssl-images-amazon.com/images/I/412WLn3iPFL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41Ish8RjFeL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41Q9ypPARoL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41pcxJP8PML._.jpg|https://images-na.ssl-images-amazon.com/images/I/51f4Y-J7vvL._.jpg,,"2 Pieces Screen Top Shelf TV Monitor Mount Organizer Adjustable Top Storage Bracket for Streaming Devices, Media Boxes, Speakers and Home Decor","Quantity and size: 2 pieces of screen top shelves in 1 package, each shelf is about 6.7 inches/ 17 cm long and 4.41 inches/ 11.2 cm wide, proper size for holding streaming devices, speakers, gaming consoles, media boxes, remotes and so on Adjustable and anti-slip: made of ABS resin, the computer screen top shelf is sturdy and reliable, which can be adjusted to meet your various needs, the non-slip surface can prevent your items from sliding; It's nice to double the area by installing two brackets side by side Save space: these adjustable top storage brackets can organize and collect small items on your desk or TV, support almost all monitors, and flat panel TV, creating a comfortable and neat working environment Easy installation: monitor mount organizer is easy to install without any tools, just adjust it to the angle you need and then install on TV or other screen, making life more convenient Widely applied: the monitor top shelf can be applied at home, office or school, on which you can place routers, calculator or some small home decorations, easy to access any time",2.7,3
"Electronics > Television & Video > Television Accessories > TV Mounts, Stands & Turntables > TV Ceiling & Wall Mounts",AmazonBasics,"AmazonBasics Heavy-Duty, Full Motion Articulating TV Wall Mount for 22-inch to 55-inch LED, LCD, Flat Screen TVs",32.99,B01KBEOL5E,,https://www.amazon.com/dp/B01KBEOL5E,US,"AmazonBasics Articulating TV Wall Mount For 22-inch to 55-inch TVs Enhance your home TV-viewing experience with this AmazonBasics Articulating TV Wall Mount. It extends, articulates, tilts, swivels, and collapses—perfect for corner installation, inside a TV center, or above a fireplace. The TV wall mount accommodates 22-inch to 55-inch flat-panel TVs, and it provides everything needed for easy mounting. The TV must have a VESA 400mm mounting pattern or smaller. VESA pattern mounting holes should be 100x100 – 400x400mm apart from each other vertically and horizontally for the bracket to fit. Note: Before purchasing, check the mounting interface (VESA) on the back of the TV, TV weight, and wall stud location, to determine if the TV wall mount will work for your TV and wall location. | AmazonBasics brings you everyday items at a great value. An Amazon Brand.",USD,999999999,https://images-na.ssl-images-amazon.com/images/I/415rZrwuNIL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41QaYleZR7L._.jpg|https://images-na.ssl-images-amazon.com/images/I/411LHWHbYzL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31hyvnw%2BsDL._.jpg|https://images-na.ssl-images-amazon.com/images/I/4197vbTMmzL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51XdbmAdkeL._.jpg|https://images-na.ssl-images-amazon.com/images/I/512v%2BLZckTL._.jpg,7851B,"AmazonBasics Heavy-Duty, Full Motion Articulating TV Wall Mount for 22-inch to 55-inch LED, LCD, Flat Screen TVs",Articulating TV wall mount accommodates 22- to 55-inch TVs (up to 80 pounds) for enhanced home TV-viewing experience 15 degrees of tilt for optimal viewing angle (+10 to -5 degrees) Articulating design extends up to 16.3 inches from the wall and swivels left to right up to 180 degrees Made of heavy-duty aluminum and steel for reliable strength Bubble level and all mounting hardware included for easy installation Fits VESA 100x100 – 400x400mm mounting patterns (The VESA mounting patterns are the distances (in mm) between the four screw holes on the back of the TV),4.6,4174
"Electronics > Television & Video > Television Accessories > TV Mounts, Stands & Turntables > TV Ceiling & Wall Mounts",Belleone,"Wall Mounting Screws for Samsung TV - M8 x 45mm with Pitch 1.25mm Solid Screw Bolts for Samsung TV Wall Mounting, Work with Samsung 7, 8 Series TV",7.99,B07QDWY8CP,,https://www.amazon.com/dp/B07QDWY8CP,US,"TV Wall Mount Bracket Screws Premium quality of 304 stainless steel material, rust resistance and long durability. Fit for TV wall mount bracket, 55KS8000 , 65KS8000. 5pcs per pack. M8 x 45mm. TV Mount Screws - M8 x 45mm Machine Screw Bolts for Samsung KS8000 Series TV Wall Mount Bracket, 304 Stainless Steel TV Screws Mounting Hardware, Metric Thread 1.25mm Pitch, Phillips Cross Drive | | ✅ Solid mounting screw bolts hold your Samsung TV securely | ✅ Metric M8 machine screws with 1.25mm threaded pitch and 45mm threaded length | ✅ This screw bolt fit for 55KS8000 , 65KS8000 TV wall mount bracket | ✅ These wall mounting screws bolts work with Samsung 7 and 8 series TV, TV model 65nu8000, Samsung 55” QLED, 75&quot QLED TV, 49&quot Samsung NU8000, 49&quot Samsung q6, 55&quot Samsung NU6900, 65” Samsung MU8500, 75&quot Samsung NU7100, 2018 Samsung Q6 flat TV, Samsung 65”curved TV, Samsung Q8F TV etc. | ✅ Note: Take a look at the manual for you TV Mount bracket as well as on TV manual - it will tell you what size needed to hang it !",USD,999999999,https://images-na.ssl-images-amazon.com/images/I/51Vr3nZW0XL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41Opyb%2BtroL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41nsLHD0ZTL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41HdcgqJZSL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31XeAZeSCsL._.jpg,,"Wall Mounting Screws for Samsung TV - M8 x 45mm with Pitch 1.25mm Solid Screw Bolts for Samsung TV Wall Mounting, Work with Samsung 7, 8 Series TV","Make sure this fits by entering your model number. ✅ Solid mounting screw bolts hold your Samsung TV securely ✅ Metric M8 machine screws with 1.25mm threaded pitch and 45mm threaded length ✅ This screw bolt fit for 55KS8000 , 65KS8000 TV wall mount bracket ✅ These wall mounting screws bolts work with Samsung 7 and 8 series TV, TV model 65nu8000, Samsung 55” QLED, 75&quot QLED TV, 49&quot Samsung NU8000, 49&quot Samsung q6, 55&quot Samsung NU6900, 65” Samsung MU8500, 75&quot Samsung NU7100, 2018 Samsung Q6 flat TV, Samsung 65”curved TV, Samsung Q8F TV etc. ✅ Note: Take a look at the manual for you TV Mount bracket as well as on TV manual - it will tell you what size needed to hang it !",4.7,33
"Electronics > Television & Video > Television Accessories > TV Mounts, Stands & Turntables > TV Ceiling & Wall Mounts",Henxlco,"Henxlco Full Motion Articulating Tilt Swivel TV Wall Mount Bracket Flat Screen Panel Monitor LCD LED 14 17 19 20 22 23 24&quot, Some up to 27¡±, VESA 75x 75mm, 100x100mm",12.49,B01C13AVOI,,https://www.amazon.com/dp/B01C13AVOI,US,"Will the mount fit my TV? 1. The weight of your display should be less than 33lbs. 2. Please look at the back of your TV, find the mounting hole and measure horizontal and vertical distance , if the pitch-row is one of the following data, then the bracket will work perfect for you. VESA: 75x75mm (3&quotx3&quot), 100x100mm (4&quotx4&quot). Package Include: 1 x TV Mount, standard screws included. Includes standard mounting hardware required to install mount onto wall. Common screws included to install TV onto mount. These included screws will fit 95% of TV on the market. If you TV requires special screws, they will need to be purchased separately from a hardware store. Notice: This mount fits most 12-24&quot TVs, some up to 26 27 inch TVs (check VESA and weight ).",USD,999999999,https://images-na.ssl-images-amazon.com/images/I/415Ffxz3tZL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41SivDw38YL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51BWDTsGRoL._.jpg|https://images-na.ssl-images-amazon.com/images/I/413ueVrc-CL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41yzEF3yFXL._.jpg,4330612436,"Henxlco Full Motion Articulating Tilt Swivel TV Wall Mount Bracket Flat Screen Panel Monitor LCD LED 14 17 19 20 22 23 24&quot, Some up to 27¡±, VESA 75x 75mm, 100x100mm","Make sure this fits by entering your model number. Fits most 15&quot - 24&quot TV monitor and some up to 27&quot(check VESA and weight); Load Capacity: 33 lbs (15KG) With VESA(mounting hole pattern) 75x75/100x100 mm (3&quotx3&quot/4&quotx4&quot) Tilt: 15°of Down / Forward tilt; Swivle - Right / Left: 180 degrees Nested arm design allows display to be folded flat to wall Easy installation, standard screws and bolts included.",4.3,60
"Electronics > Television & Video > Television Accessories > TV Mounts, Stands & Turntables > TV Ceiling & Wall Mounts",Pyle,"Adjustable Height TV Ceiling Mount - Tilting Vertical VESA Universal Monitor Mounting Bracket w/ Telescoping Arm, Mounts 37 to 70 Inch HDTV, LED, LCD, Flat Screen Television Up to 50 KG - Pyle PCTVM18",49.99,B00LP3E4RQ,,https://www.amazon.com/dp/B00LP3E4RQ,US,"The Pyle PCTVM18 Height Adjustable TV Ceiling Mount was made to safely mount your TV. Mount virtually any TV (sized from 37.0'' to 70.0'') onto flat or pitched ceilings. Made to fit VESA universal mount standards for flat panel HDTV, LCD, LED, Plasma and Smart TVs -- from brands including Samsung, JVC, Magnavox, Panasonic, Sharp, Toshiba, Vizio and more. Additional features include tilt adjustable along with reinforced hollow mounting bracket arms that provide internal routing cable management and telescoping height adjustable arm (extends from 41.3'' to 61.3'' inches). Add versatility to your home theater experience and mount your TV exactly where you want. Hang it up safely and reliably with the PCTVM18 Height Adjustable TV Ceiling Mount.",USD,999999999,https://images-na.ssl-images-amazon.com/images/I/317vsDt%2BIFL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41xudpVHtML._.jpg|https://images-na.ssl-images-amazon.com/images/I/41pFE9SjGTL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51NNet9s5tL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41M4Cj7DzhL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41icpRzqY3L._.jpg|https://images-na.ssl-images-amazon.com/images/I/51zfyuLfkdL._.jpg,PCTVM18,"Adjustable Height TV Ceiling Mount - Tilting Vertical VESA Universal Monitor Mounting Bracket w/ Telescoping Arm, Mounts 37 to 70 Inch HDTV, LED, LCD, Flat Screen Television Up to 50 KG - Pyle PCTVM18","ADJUSTABLE HEIGHT: The monitor holder features a height adjustable arm from 41.3”-61.4”. It is also tilt adjustable to -15° providing maximum comfort and viewing experience. Also features internal cable routing and management for clean installation UNIVERSAL COMPATIBILITY 37” - 70”: Pyle brings you a universal tilting TV mount that was designed for saving space and creating optimum viewing pleasure as it features a bracket design that mounts to ceilings. It fits any 37 to 70 inch television VESA MOUNT: Features a universal VESA Mounting Interface Standard (MIS), a set of standards for the manufacturing of flat screen televisions and PC monitors. A VESA hole pattern is measured in both horizontal and vertical distance b/w mounting holes MOUNTING HARDWARE: Includes all necessary mounting hardware and brackets for easy and hassle-free installation. The TV mount can be safely used for wooden joist ceiling, flat or pitched ceilings and solid brick and concrete ceiling mounting 110LB MAX LOAD: It promotes safe, durable, and reliable TV mounting and can hold up to 110 lbs load. Made to fit flat panel HDTV, LCD, LED, Plasma, Smart TVs - from brands including Samsung, JVC, Magnavox, Panasonic, Sharp, Toshiba, Vizio and more",4.2,13